# Branch	gain(current)	loss(current)	gain(all)	loss(all)
Dermatophagoides	1921.5795483105526	524.8152721070629	1921.5795483105526	530.7280124254364
Psovi	1786.1394858151527	633.6059576585008	1786.1394858151527	639.5186979768743
Sarcoptes	2037.7119274914353	854.896472370147	2037.7119274914353	862.3842165261318
Blomia	2121.5792429875146	582.2328324199353	2121.5792429875146	588.5230106967272
Tyrophagus	3006.2863738893047	943.8716855685291	3006.2863738893047	950.1618638453209
Oppia	2618.713510666479	1385.1425228183004	2618.713510666479	1411.2674935296784
Hypochthonius	2023.746042393714	1105.4101496008475	2023.746042393714	1131.5351203122254
Panoychus	1408.0743801840138	725.4094613593569	1408.0743801840138	746.4578076686026
Tetranychus	1918.9586551471616	3434.3676299776967	1918.9586551471616	3455.415976286942
Brevipalpus	1570.5945289547292	1058.748497484793	1570.5945289547292	1085.1678455723022
Dinothrombium	1369.4384743588141	876.3184030873394	1369.4384743588141	895.5130860858965
Leptotrombium	1360.2468826112993	1070.1684723417516	1360.2468826112993	1089.3631553403086
Halotydeus	1531.1225217870738	863.2006200874063	1531.1225217870738	883.4753871913092
bycatch	1083.377430747469	2336.800609385619	1083.377430747469	2357.0753764895217
RARGMITE	220.9486888839839	57.601643215038536	220.9486888839839	58.17909086395432
Aculops	121.72361140508302	100.33139819016705	121.72361140508302	100.90884583908283
Aculus	182.78406932470543	124.54932757596715	182.78406932470543	125.5661527711371
Floracarus	198.56661087745638	204.02026054344026	198.56661087745638	206.00585992429106
Setoptus	570.0609462193627	199.21736900430912	570.0609462193627	217.96527098906517
Fragariocoptes	575.3101866370782	490.1247251881048	575.3101866370782	508.87262717286086
Varroa	2367.845199402682	610.4282073958977	2367.845199402682	624.3442038374882
Stratiolaelaps	2909.5619119457697	1212.6647198497037	2909.5619119457697	1226.5807162912943
Dermanyssus	3293.683101503755	1650.551171592655	3293.683101503755	1681.223020848349
Galendromus	2810.501255076567	680.5605749161621	2810.501255076567	690.4333100599719
$24_noname	111.75979438306948	698.9934119650718	116.53043085316484	705.3390522727785
$25_noname	56.66541407718001	489.66762968973745	60.10502334239582	498.71249871418564
$26_noname	64.24003787678645	574.8762282183103	67.44555164125367	584.8845676212029
$27_noname	298.6903655212808	941.8290478736795	309.15426548442514	959.9260499775221
$28_noname	149.89217949469182	148.68185772974056	161.44476992799756	154.8355835075838
$29_noname	557.5373713787359	230.09946824901203	571.9993560846127	243.18227024110885
$30_noname	0.18895719076307566	188.08771334075996	0.22878919536426232	193.4985471236247
$31_noname	327.50517245043585	872.6085962333518	349.26917719442775	888.7861397267831
$32_noname	232.10567049335697	563.1567147586734	245.19111372872464	577.8803618324325
$33_noname	285.49487622002925	32.76817867346566	298.2963270370684	34.084952423136066
$34_noname	81.75339695041043	821.18790065173	97.95270316173556	826.460649528732
$35_noname	264.1937656792598	274.2652099677636	269.1766887067488	289.24684656780823
$36_noname	1151.069170781851	0.0013829331219689666	1159.1079994341092	0.0026875586530971324
$37_noname	0.7689651853582614	19.037803725833005	0.8182572133388375	19.52647330006774
$38_noname	14.040999069572878	77.09260759585923	14.71589570392007	78.73627841588728
$39_noname	2.663709857535178	394.0729171921847	3.025054993310504	406.2985954130462
$40_noname	30.54267608812486	6.571664235911146E-4	35.44072491065097	7.364701305961298E-4
$41_noname	147.2310747329049	2174.1826884493603	160.76183934068106	2185.1729199066076
$42_noname	1416.9042538317042	4640.382908083114	1425.0458232634517	6937.277283879785
$43_noname	361.47942561906984	321.3198018393124	367.52973377197185	344.1259628063179
$44_noname	1224.9722244823324	0.004316035452554825	1245.7718167201917	0.004794161427559597
$45_noname	17.05822535847906	1072.2899787232006	17.098635481099578	3362.5198593823425
